-12345678901234567890                     0
                   -1                     1
                   +0 -12345678901234567890
                   -0  12345678901234567890
 12345678901234567890 -12345678901234567890 
 12345678901234567890                     0
                    0                     0
-98765432109876543210 -12345678901234567890
-99999999999999999999 -99999999999999999998
-99999999999999999998 -99999999999999999999
 -1234567890123456789                 -1234
                -1234  -1234567890123456789
 12345678901234567890  12345678901234567890 
 12345678901234567890  98765432109876543210
 98765432109876543210  12345678901234567890
  1234567890123456789                  1234
                 1234   1234567890123456789
                   -0                    -0
                    0                    -0
                   +0                    -0
                   -0                     0
                    0                     0
                   +0                     0
                   -0                    +0
                    0                    +0
                   +0                    +0
